date,latitude,longitude,text,tweet_id
05/10/2019 14:42,41.7000097,-97.6939411,Were hiring! Click to apply Seasonal Personal Vehicle Package Driver   #Transportation #Lindsay NE,1.18E+18
05/10/2019 14:42,45.6066487,-73.712409,"If jobs with titles like ""Nespresso Chef déquipe Rive Sud et environs jusqua 20 heures par semaine"" sound appea… ",1.18E+18
05/10/2019 14:42,33.70137,-84.1001299,My sister so pretty I’m at her first conference @TillerTooksTalk love u proud of u sister @ Fairfield Inn amp Suit… ,1.18E+18
05/10/2019 14:42,46.866729,-96.9543097,If youre looking for work in #WestFargo ND check out this job LoaderUnloader  #cintasjobs,1.18E+18
05/10/2019 14:42,34.0522,-118.243,Many people try to be MrPerfect or try to have perfect plan before executing anything  But the majority of us d… ,1.18E+18
05/10/2019 14:42,39.8814519,-83.0929644,Were hiring! Click to apply Food Prep Person   #RestaurantJob #GroveCity OH,1.18E+18
05/10/2019 14:42,33.93934609,-117.9576931,From peach to the softest pink Transitioning from a fashion color back to BLONDE is a test of patience We a… ,1.18E+18
05/10/2019 14:42,38.88694444,-77.00694444,#Like every other older buildings its being repaired #Contruction barriers around it etc! #They said another two y… ,1.18E+18
05/10/2019 14:42,29.57260625,-95.12301215,He makes it look so easy! Jam crusted pork belly mixed greens fresh tomatoes sliced sweet peppers topped with b… ,1.18E+18
05/10/2019 14:42,41.90338,-87.68131,All mine @ Purple Llama Coffee amp Records ,1.18E+18
05/10/2019 14:43,32.6662,-79.9392,I found this large tooth looking object on Folly Beach yesterday I thought it could possibly be a really cool fin… ,1.18E+18
05/10/2019 14:43,38.64872794,-90.13520958,@flyinryanpsm ready for Q1 at #gateway #NHRA #nhrapsm #eatmyink #motorsport #candid #portrait #photography… ,1.18E+18
05/10/2019 14:43,29.99883,-95.25955,#vanilabuttercupcake #saturday #cynthiaskitchen we open at 11am #humble #houston @ Cynthias kitchen ,1.18E+18
05/10/2019 14:43,29.6489083,-82.34396696,and lyndseykleiman made it on to Game Day! @ University of Florida ,1.18E+18
05/10/2019 14:43,41.0357041,-74.1142235,Sunrise Senior Living is hiring in #SaddleRiver NJ! Read about our latest #HealthWelfare job opening via the link… ,1.18E+18
05/10/2019 14:43,26.7151,-80.0394,#berries #healthyfood #strawberey #rasberries #realtorvalentinapalmbeach #travelagent #goodmorning # ,1.18E+18
05/10/2019 14:43,44.977753,-93.2650108,"Click the link in our bio to see currently open #Banking jobs like ""Senior Decision Scientist  Analytic Consultant… ",1.18E+18
05/10/2019 14:43,39.0217283,-84.4399406,"Stop staring at the clock every day Its time for a new career Follow us to view jobs with titles like ""Financial… ",1.18E+18
05/10/2019 14:43,47.51829635,-122.2964596,Museum of flight B52 park this ones for Mr Sunada LOL @ The Museum of Flight ,1.18E+18
05/10/2019 14:43,41.6559307,-93.737157,"Want to land a job like ""barista  Store# 09558 URBANDALE 86THampNORTHPARK DR"" at Starbucks Applicant tracking syst… ",1.18E+18
05/10/2019 14:43,36.122311,-83.492396,Interested in a job in #JeffersonCity TN This could be a great fit ,1.18E+18
